T_years,Rate,is_integer_year,DF,ZC_Cont,ZC_Disc
0.0027397260273972603,0.0276174320498573,False,0.9999253645663013,0.02724294995735675,0.027617432049853452
0.25,0.0294897777783712,False,0.992760502793069,0.029063318129340775,0.029489777778370918
0.5,0.030413206153604096,False,0.985131694833621,0.02995989281688079,0.03041320615360399
0.75,0.031693123138122004,False,0.9768707326799038,0.031201261538463504,0.03169312313812189
1.0,0.0332036952462039,True,0.9678633599560523,0.03266435873935078,0.03320369524620381
2.0,0.038440041624785405,True,0.9271553999880013,0.03781704496918627,0.03854120915720727
3.0,0.041349991069007004,True,0.8850444126422798,0.040705817152261244,0.04154565560451573
4.0,0.0432749999999888,True,0.8432031498946748,0.042636841389606744,0.04355884864649395
5.0,0.0447999999996575,True,0.8017588713192634,0.04418947510511514,0.04518037178902379
6.0,0.0460499999959175,True,0.7611754599174707,0.045481897126486315,0.04653205920497028
7.0,0.0470749999726581,True,0.7218772336153336,0.046557170155860306,0.047657972126024406
8.0,0.047874999876486406,True,0.6843858017017181,0.04740418534917249,0.04854573026505005
9.0,0.0484999995684781,True,0.6487987736829527,0.048070296257089355,0.049244410686920315
10.0,0.0489999987815192,True,0.6150411333647144,0.04860661298923612,0.04980728894750586
12.0,0.049850001964989905,True,0.5794763529638205,0.0454692019137062,0.04651877334213106
15.0,0.0507500219634998,True,0.544262641306436,0.040554890141050105,0.04138847009374347
20.0,0.051525052186324305,True,0.5109748320113768,0.033571747120764654,0.034141637749614206
30.0,0.0514999908966133,True,0.4861746966947097,0.02403957538172347,0.024330855373085658
